id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
4800,-23.1546,29.5978,0.0,128.1,63.32,15.55,44.6,26.49,11.41,moderate contamination
4801,-23.3641,29.3529,0.0,98.57,28.6,15.24,27.2,20.2,6.28,moderate contamination
4802,-23.0175,29.9244,0.0,80.5,50.62,21.32,125.8,143.85,33.49,moderate contamination
4803,-23.468,29.9119,0.0,73.37,21.84,14.99,14.6,12.19,4.03,low contamination
4804,-23.5221,29.9047,0.0,83.47,48.2,15.6,16.4,13.25,8.92,moderate contamination
4805,-23.5139,29.8917,1.293,14.97,5.64,5.43,42.8,3.69,1.39,very low contamination
4806,-23.62,29.8902,0.0,40.87,13.47,14.62,16.3,9.0,3.51,very low contamination
4807,-23.6369,29.9148,1.355,7.61,4.8,6.5,36.3,3.87,2.14,very low contamination
4808,-23.6523,29.8936,0.0,30.38,10.4,17.46,19.7,11.48,4.06,very low contamination
4809,-23.7779,29.4172,0.0,117.87,33.39,21.63,47.1,23.56,5.62,moderate contamination
4810,-23.8991,29.5045,0.0,297.25,163.75,6.85,25.9,23.74,15.61,moderate contamination
4811,-23.904,29.5056,0.0,318.85,126.76,8.11,38.4,28.58,18.68,moderate contamination
4812,-23.8992,29.5859,1.187,572.26,327.01,21.54,50.79,32.42,44.31,high contamination
4813,-23.8194,29.9,0.961,30.12,14.09,60.09,47.98,23.96,4.72,very low contamination
4814,-23.8139,29.9833,1.374,25.19,17.46,33.53,34.6,24.74,3.14,very low contamination
4815,-23.8417,29.925,1.243,39.39,24.45,21.34,45.1,29.42,19.73,very low contamination
4816,-22.9569,29.2986,0.113,193.16,90.12,5.45,53.1,64.46,34.22,moderate contamination
4817,-28.3139,29.825,0.216,70.45,33.53,23.19,32.4,21.33,21.76,low contamination
4818,-28.5639,29.8333,0.149,115.47,48.55,32.94,39.1,28.88,28.51,moderate contamination
4819,-28.1417,29.6847,0.25,20.34,12.03,22.81,23.4,10.67,5.73,very low contamination
4820,-23.6658,28.0473,0.677,37.83,19.81,10.35,18.34,10.69,8.73,very low contamination
4821,-23.6898,28.003,0.0,54.16,28.25,9.68,40.8,10.03,11.58,very low contamination
4822,-23.7114,28.1171,0.0,49.23,55.76,8.9,26.4,31.8,18.92,very low contamination
4823,-23.9256,28.3288,0.0,41.5,11.78,14.6,34.1,8.36,3.84,very low contamination
4824,-23.9003,28.2906,0.0,29.93,12.66,10.63,11.4,8.55,4.93,very low contamination
4825,-23.7066,28.4128,0.0,25.1,5.38,6.09,13.53,3.93,1.23,very low contamination
4826,-23.7398,28.4318,0.0,19.45,3.32,4.14,9.9,5.03,2.74,very low contamination
4827,-23.8668,28.4561,0.914,29.76,10.8,8.44,20.51,7.26,3.07,very low contamination
4828,-23.5903,28.4256,0.0,99.92,51.51,8.15,55.0,29.66,15.51,moderate contamination
4829,-23.0758,28.56,0.0,124.17,45.76,9.67,23.1,33.69,15.91,moderate contamination
4830,-23.1571,28.531,0.0,59.13,27.23,7.99,55.6,22.72,8.78,very low contamination
4831,-23.4928,28.4003,0.0,88.59,66.84,6.25,36.5,29.21,16.01,moderate contamination
4832,-23.1778,28.2503,0.0,106.52,62.84,7.62,84.7,35.46,18.31,moderate contamination
4833,-23.1796,28.2508,0.91,112.42,43.25,11.13,42.57,26.87,17.56,moderate contamination
4834,-23.5923,28.2761,0.0,45.39,29.8,10.86,42.5,13.07,7.83,very low contamination
4835,-23.5888,28.055,0.0,59.54,41.24,13.57,48.9,16.88,10.38,very low contamination
4836,-23.5332,28.1746,1.021,47.62,15.39,9.52,25.75,18.08,7.78,very low contamination
4837,-23.445,28.3588,0.0,36.66,14.32,3.54,25.0,8.79,5.67,very low contamination
4838,-23.4215,28.3667,0.0,29.0,5.02,3.29,9.3,5.56,5.36,very low contamination
4839,-32.0212,26.2349,0.333,20.58,12.77,9.04,20.6,9.95,5.72,very low contamination
4840,-33.4208,25.6722,0.47,16.98,9.37,9.87,15.8,8.17,5.76,very low contamination
4841,-33.4186,25.6722,0.725,48.32,32.38,20.32,47.6,23.63,12.71,very low contamination
4842,-33.5625,25.75,0.707,55.9,20.4,11.98,21.9,10.18,8.3,very low contamination
4843,-33.5253,25.7225,0.674,32.37,21.44,16.14,54.4,14.15,9.35,very low contamination
4844,-33.5303,25.7419,0.846,43.25,24.29,15.94,34.1,18.06,9.09,very low contamination
4845,-33.5489,25.7183,0.307,31.06,13.63,12.86,38.5,12.62,7.88,very low contamination
4846,-31.4167,25.6333,0.616,58.14,27.19,14.32,51.9,16.65,9.87,very low contamination
4847,-33.4833,25.6667,0.512,64.69,29.08,22.81,60.1,21.34,10.34,low contamination
4848,-33.4319,25.6764,0.465,36.44,20.84,15.0,36.3,16.98,8.16,very low contamination
4849,-32.7667,25.6,0.624,39.62,25.96,19.87,41.1,16.48,9.8,very low contamination
4850,-32.7667,25.6167,0.638,81.43,58.06,18.05,69.6,28.27,9.86,low contamination
4851,-32.7433,25.6072,1.187,37.93,12.81,15.34,51.29,13.44,11.25,very low contamination
4852,-33.8333,20.0839,0.623,44.05,20.19,21.59,48.79,9.76,7.46,very low contamination
4853,-30.2458,29.9528,0.548,235.86,99.62,25.44,44.0,67.14,42.55,moderate contamination
4854,-30.1375,29.9139,0.705,74.26,34.86,21.74,47.0,25.07,15.76,low contamination
4855,-27.4667,31.65,0.512,274.89,181.53,14.79,34.7,46.37,26.09,moderate contamination
4856,-27.4806,31.6361,0.524,250.4,130.36,13.92,37.8,42.63,24.23,moderate contamination
4857,-27.4861,31.6139,0.491,432.57,281.6,15.17,88.62,55.92,35.41,high contamination
4858,-27.4056,31.7264,0.495,107.22,96.76,29.06,45.7,39.25,17.11,moderate contamination
4859,-27.4167,31.7264,0.465,88.51,48.34,11.46,24.8,22.76,12.55,moderate contamination
4860,-27.4083,31.7472,0.855,118.76,77.57,13.95,50.5,59.08,19.24,moderate contamination
4861,-27.4481,31.6756,0.95,324.59,240.06,9.47,71.8,49.42,30.99,moderate contamination
4862,-27.4481,31.6828,0.663,240.78,198.68,9.72,81.0,56.78,29.74,moderate contamination
4863,-34.0819,20.9294,0.516,31.26,29.63,16.9,34.3,13.81,9.65,very low contamination
4864,-34.0797,20.9292,0.827,23.6,26.53,17.08,34.7,15.31,9.04,very low contamination
4865,-31.9592,26.2809,1.001,61.67,27.18,13.37,34.6,21.84,10.73,low contamination
4866,-31.6591,26.1974,0.586,29.67,19.91,13.91,38.6,12.26,7.04,very low contamination
4867,-31.7031,26.2685,1.079,55.32,30.53,8.52,45.5,49.14,13.37,low contamination
4868,-30.4481,29.55,0.861,43.09,29.66,20.95,29.7,21.69,14.22,very low contamination
4869,-30.2217,29.3511,0.696,47.83,22.73,13.51,32.4,28.8,30.95,very low contamination
4870,-30.1728,29.2583,0.787,52.14,34.31,28.8,36.7,23.47,21.64,very low contamination
4871,-30.3014,28.6828,0.423,83.42,41.77,18.55,51.2,38.02,17.03,moderate contamination
4872,-30.6264,29.9847,0.783,132.55,68.57,24.05,25.2,31.98,26.54,moderate contamination
4873,-30.4097,29.4139,0.692,181.53,89.01,20.15,42.5,72.67,45.78,moderate contamination
4874,-30.0444,29.3486,1.291,70.16,43.69,18.67,26.4,29.66,26.84,moderate contamination
